Name,Website,Group Membership
"ACOPAEX, SDAD. COOP.","http://www.acopaex.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"AFRUEX-ASOC. FRUTICULTORES DE EXTREMADURA","http://www.afruex.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"AN S. COOP.","http://www.grupoan.com","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"APAG EXTREMADURA ASAJA","https://www.apagextremaduraasaja.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"COOPERATIVAS AGRO-ALIMENTARIAS EXTREMADURA","http://www.cooperativasextremadura.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"COMERCIAL AGROPECUARIA, S.A.T-CASAT","http://www.casat.es/es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"UPA-UCE EXTREMADURA","https://www.upa.es/upa-uceextremadura/uControlador/index.php?nodo=1000","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"APYME VEGAS ALTAS LA SERENA","http://apymedonbenito.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"ASOCIACIÓN PROFESIONAL DE AGRICULTORES Y GANADEROS DE DON BENITO Y COMARCA","https://www.agricultoresyganaderos.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"LA UNIÓN EXTREMADURA","https://www.launionextremadura.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"PRONAT S.C.","https://www.pronat.com.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"TOMATES DEL GUADIANA, S. COOP.","https://tomatesdelguadiana.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"DCOOP S. COOP. AND","https://www.dcoop.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: asociaciones-cooperativas-y-organizaciones-agrarias-2"
"MOTRI TOOLS","http://www.motritools.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: maquinaria-auxiliar-3"
"NEUMÁTICOS  AVENIDA","https://www.neumaticosavenida.com/quienes-somos-1","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: maquinaria-auxiliar-3"
"JBM CAMPLLONG S.L.U.","https://jbmcamp.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: maquinaria-auxiliar-3"
"RL SUMINISTROS","https://rlsuministros.es/es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: maquinaria-auxiliar-3"
"DESGUACES CASQUERO S.L.","https://www.desguacescasquero.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: maquinaria-auxiliar-3"
"GADOOR-FÁBRICA DE PUERTAS E AUTOMATISMOS, S.A.","https://www.gadoor.net/pt/home","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: automatismos-2"
"ISAGRI, S.L.U","https://www.isagri.es/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: automatismos-2"
"AUTOMATISMOS ITEA S.L.","https://automatismositea.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: automatismos-2"
"PASTOR INGIENERÍA AUTOMÁTICA S.L.U.","https://pastoringenieria.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: automatismos-2"
"SOLUCIONES EN PROCESO DE PESAJE S.L.U.","https://www.soppslu.com/","AGROEXPO FEVAL DON DENITO ::: 28 Ene ::: automatismos-2"
